id,ordinamento,nome_italiano,nome_inglese,prezzo,prezzo_asporto,asporto,solo_asporto,photo,descrizione_italiano,descrizione_inglese,show_desc,surgelato,allergeni,id_sottocategoria_menu,enable,created_at,updated_at
3,44,Trebbiano spoletino,Trebbiano spoletino,5.0,,0,0,,Favaroni,Favaroni,0,0,[],3,0,2024-07-30 19:50:24,2024-10-06 11:01:53
4,45,448 Bianco,448,5.0,,0,0,,Girlan (vigneti delle dolomiti),Girlan,0,0,[],3,1,2024-07-30 19:53:42,2024-10-06 11:01:53
5,46,448 Rosso,448 Rosso,5.0,,0,0,,Girlan (vigneti delle dolomiti),Girlan (vigneti delle dolomiti),0,0,[],3,1,2024-07-30 19:55:21,2024-10-06 11:01:53
6,47,Montepulciano,Montepulciano,5.0,,0,0,,Talamonti,Talamonti,0,0,[],3,1,2024-07-30 19:56:07,2024-10-06 11:01:53
7,0,Shiraz,Shiraz,20.0,,0,0,,Casale del giglio (100% syrah),Casale del giglio (100% syrah),0,0,[],4,1,2024-07-30 19:58:24,2024-10-16 16:51:53
8,1,MODà,MODà,20.0,,0,0,,TALAMONTI (100% MONTEPULCIANO),TALAMONTI (100% MONTEPULCIANO),0,0,[],4,1,2024-07-30 20:00:16,2024-10-16 16:51:53
9,2,PINOT NERO DEL MOLISE,PINOT NERO DEL MOLISE,22.0,,0,0,,VINICA (100% pinot nero),vINICA (100% pinot nero),0,0,[],4,1,2024-07-30 20:02:29,2024-10-16 16:51:53
10,3,SANGIOVESE DEL MOLISE,SANGIOVESE DEL MOLISE,22.0,,0,0,,VINICA (100% SANGIOVESE),VINICA (100% SANGIOVESE),0,0,[],4,1,2024-07-30 20:03:33,2024-10-16 16:51:53
11,4,BACCANERA,BACCANERA,25.0,,0,0,,MEDEVI (100% CESANESE),MEDEVI (100% CESANESE),0,0,[],4,0,2024-07-30 20:04:18,2024-10-17 18:05:55
12,5,AMARANTO,AMARANTO,25.0,,0,0,,Medevi (100% Syrah) ,Medevi (100% Syrah) ,0,0,[],4,1,2024-07-30 20:06:29,2024-10-17 18:05:55
13,6,Cecapecore,Cecapecore,22.0,,0,0,,Favaroni (Cabernet Sauvignon Merlot Sagrantino) ,Favaroni (Cabernet Sauvignon Merlot Sagrantino) ,0,0,[],4,1,2024-07-30 20:06:54,2024-10-17 18:05:55
14,7,Cabernet Sauvignon,Cabernet Sauvignon,26.0,,0,0,,Forchir (100% Cabernet Sauvignon),Forchir (100% Cabernet Sauvignon),0,0,[],4,1,2024-07-30 20:07:53,2024-10-17 18:05:55
15,8,Vulkà,Vulkà,24.0,,0,0,,Tenute Nicosia (80% Nerello mascalese 0% Nerello cappuccio),Tenute Nicosia (80% Nerello mascalese 0% Nerello cappuccio),0,0,[],4,1,2024-07-30 20:09:28,2024-10-17 18:05:55
16,9,Capolemole,Capolemole,28.0,,0,0,,Marco Carpineti (60% nero buono 30% montepulciano 10% Cesanese),Marco Carpineti (60% nero buono 30% montepulciano 10% Cesanese),0,0,[],4,1,2024-07-30 20:10:01,2024-10-17 18:05:55
17,10,Gattinara,Gattinara,40.0,,0,0,,Travaglini (100% Nebbiolo),Travaglini (100% Nebbiolo),0,0,[],4,1,2024-07-30 20:10:35,2024-10-17 18:05:55
18,0,Satrico,Satrico,17.0,,0,0,,"Casale del Giglio (40% Chardonnay, 40% Sauvignon, 20% Trebbiano Giallo)","Casale del Giglio (40% Chardonnay, 40% Sauvignon, 20% Trebbiano Giallo)",0,0,[],5,1,2024-07-30 20:11:54,2024-10-15 17:36:47
19,1,Trabocchetto,Trabocchetto,18.0,,0,0,,talamonti (100% pecorino ),talamonti (100% pecorino ),0,0,[],5,1,2024-07-30 20:12:28,2024-10-15 17:36:47
20,2,Trebì,Trebì,18.0,,0,0,,Talamonti ( 100% trebbiano d’Abruzzo),Talamonti ( 100% trebbiano d’Abruzzo),0,0,[],5,1,2024-07-30 20:13:35,2024-10-15 17:36:47
21,3,Vulká,Vulká,24.0,,0,0,,"Tenute Nicosia (60% carricante,40% catarratto)","Tenute Nicosia (60% carricante,40% catarratto)",0,0,[],5,1,2024-07-30 20:14:18,2024-10-15 17:36:47
22,4,Capolemole,Capolemole,23.0,,0,0,,Marco Carpineti (100% Bellone),Marco Carpineti (100% Bellone),0,0,[],5,1,2024-07-30 20:14:50,2024-10-15 17:36:47
23,5,Ribolla Gialla,Ribolla Gialla,22.0,,0,0,,Forchir (100% Ribolla Gialla),Forchir (100% Ribolla Gialla),0,0,[],5,1,2024-07-30 20:15:14,2024-10-15 17:36:47
24,7,Sauvignon Blanc,Sauvignon Blanc,20.0,,0,0,,Forchir (100% Sauvignon),Forchir (100% Sauvignon),0,0,[],5,1,2024-07-30 20:16:04,2024-10-15 17:36:47
25,6,Frascati Superiore,Frascati Superiore,24.0,,0,0,,Gabriele Magno (75% Malvasia 25%Trebbiano),Gabriele Magno (75% Malvasia 25%Trebbiano),0,0,[],5,1,2024-07-30 20:16:40,2024-10-15 17:36:47
26,8,Valchiria,Valchiria,22.0,,0,0,,Medevi (100% passerina),Medevi (100% passerina),0,0,[],5,1,2024-07-30 20:17:22,2024-10-15 17:36:47
27,9,Cleto,Cleto,22.0,,0,0,,emiliano Fini (100% Greghetto),emiliano Fini (100% Greghetto),0,0,[],5,1,2024-07-30 20:18:14,2024-10-15 17:36:48
28,10,Flamingo Rosato,Flamingo Rosato,24.0,,0,0,,medevi (100% syrah),medevi (100% syrah),0,0,[],5,1,2024-07-30 20:18:43,2024-10-15 17:36:48
29,11,Gewürztraminer,Gewürztraminer,25.0,,0,0,,H.Lun (100% Gewürztraminer),H.Lun (100% Gewürztraminer),0,0,[],5,0,2024-07-30 20:19:04,2024-10-15 17:36:48
30,12,Lavente,Lavente,24.0,,0,0,,Emiliano Fini (100% Malvasia puntinata),Emiliano Fini (100% Malvasia puntinata),0,0,[],5,1,2024-07-30 20:19:40,2024-10-15 17:36:48
31,13,Chardonnay,Chardonnay,23.0,,0,0,,Girlan (100% Chardonnay ),Girlan (100% Chardonnay ),0,0,[],5,1,2024-07-30 20:20:09,2024-10-15 17:36:48
32,14,Cecapecore,Cecapecore,22.0,,0,0,,avaroni (100% Pinot grigio),favaroni (100% Pinot grigio),0,0,[],5,1,2024-07-30 20:20:48,2024-10-15 17:36:48
33,83,JOY,JOY,20.0,,0,0,,PROSECCO DOC EXTRA DRY,PROSECCO EXTRA DRY,0,0,[],6,1,2024-07-30 20:24:57,2024-10-06 11:01:54
34,86,1/4 LITRO,1/4 LITER,3.5,,0,0,,CANTINA BACCO (CACCHIONE O MERLOT),,0,0,[],11,1,2024-07-30 23:11:10,2024-10-06 11:01:54
35,87,1/2 LITRO,1/2 LITER,5.0,,0,0,,CANTINA BACCO (CACCHIONE O MERLOT),,0,0,[],11,1,2024-07-30 23:12:20,2024-10-06 11:01:54
36,88,1 LITRO,1 LITER,9.0,,0,0,,CANTINA BACCO (CACCHIONE O MERLOT),,0,0,[],11,1,2024-07-30 23:13:36,2024-10-06 11:01:54
37,0,Supplì al ragù di scottona,"fried ball of rice with tomato sauce, mozzarella and meat",2.0,2.0,1,0,,,,0,0,"[""3"", ""1"", ""4"", ""5"", ""14"", ""11""]",7,1,2024-07-31 12:24:25,2024-08-20 12:02:39
38,1,Supplì cacio e pepe ,Fried ball of rice with pecorino and parmesan,2.5,2.0,1,0,,,,0,0,"[""3"", ""1"", ""4"", ""5"", ""14""]",7,1,2024-07-31 12:25:28,2024-08-20 12:02:39
39,2,Supplì nduja ,Ball of fried rice with spicy meat,2.5,2.0,1,0,,,,0,0,"[""3"", ""4"", ""5"", ""14""]",7,1,2024-07-31 12:26:28,2024-10-06 11:02:11
40,3,Crocchetta di patate ,Potato croquettes and mozzarella,2.0,2.0,1,0,,,,0,0,"[""3"", ""4"", ""5"", ""14""]",7,1,2024-07-31 12:27:11,2024-10-06 11:02:11
41,4,Crocchetta di patate e porchetta ,Potato croquettes and pork,3.0,2.5,1,0,,,,0,0,"[""3"", ""4"", ""5"", ""14""]",7,1,2024-07-31 12:27:50,2024-10-06 11:02:11
42,5,Fiore di zucca ,Fried zucchini flowers with mozzarella and anchovies ,3.5,3.5,1,0,,,,0,0,"[""4"", ""5"", ""8""]",7,1,2024-07-31 12:28:52,2024-08-20 12:02:39
43,6,Filetto di baccalà ,Fried salted cod,4.0,4.0,1,0,,,,0,1,"[""4"", ""8""]",7,1,2024-07-31 12:29:41,2024-08-20 12:02:39
44,7,Olive ascolane 5pz,Fried olives stuffed with meat,4.0,4.0,1,0,,,,0,1,"[""3"", ""1"", ""11"", ""14""]",7,1,2024-07-31 12:30:27,2024-08-20 12:02:39
45,10,pomodoro ,Toasted bread with tomatos,3.0,2.5,1,0,,,,0,0,"[""4""]",8,1,2024-07-31 12:31:23,2024-09-27 15:22:51
46,11,verdure grigliate ,Toasted bread with vegetables mix,3.0,2.5,1,0,,,,0,0,"[""4""]",8,1,2024-07-31 12:32:06,2024-09-27 15:22:51
47,12, CIAUSCOLO E STRACCIATELLA ,Toasted bread with salami and fresh cheese ,4.0,3.5,1,0,,,,0,0,"[""5"", ""4""]",8,1,2024-07-31 12:32:50,2024-09-27 15:22:51
48,13,Stracciatella alici e pomodori confit,"Toasted bread with fresh cheese, tomatos and anchovies ",4.0,3.5,1,0,,,,0,0,"[""5"", ""4"", ""8""]",8,1,2024-07-31 12:35:37,2024-09-27 15:22:51
49,14,BUFALA E PANCETTA AFFUMICATA ,Toasted bread with bufala and bacon ,5.0,4.5,1,0,,,,0,0,"[""4"", ""5"", ""13""]",8,1,2024-07-31 12:37:01,2024-09-27 15:22:51
50,8,PATATINE FRITTE ,French fries,5.0,4.0,1,0,,,,0,1,"[""4""]",7,0,2024-07-31 12:37:36,2024-10-06 11:01:58
52,15,LA PETTEGOLA,LA PETTEGOLA ,25.0,,0,0,,cantina banfi (100% vermentino),cantina banfi (100% vermentino),0,0,[],5,1,2024-08-02 16:17:24,2024-10-15 17:36:48
53,16,PECORINO D'OFFIDA,PECORINO D'OFFIDA,22.0,,0,0,,le vigne di clementina fabi (100% pecorino),le vigne di clementina fabi (100% pecorino),0,0,[],5,1,2024-08-02 16:19:38,2024-10-15 17:36:48
54,17,PHENOMENA,PHENOMENA,22.0,,0,0,,medevi (100% malvasia puntinata),medevi (100% malvasia puntinata),0,0,[],5,1,2024-08-02 16:20:27,2024-10-15 17:36:48
55,18,GEWURZTRAMINER CILENO,GEWURZTRAMINER CILENO,28.0,,0,0,,emiliana (100% GEWURZTRAMINER),emiliana (100% GEWURZTRAMINER),0,0,[],5,1,2024-08-02 16:22:08,2024-10-15 17:36:48
56,19,FRAGELLAE,FRAGELLAE,30.0,,0,0,,"palazzo tronconi (pampanaro, maturano e capolongo)","palazzo tronconi (pampanaro, maturano e capolongo)",0,0,[],5,1,2024-08-02 16:24:46,2024-10-15 17:36:48
57,20,RUSTICA PROGENIE (1LT),RUSTICA PROGENUIE (1LT),23.0,,0,0,,palazzo tronconi (uve bianche autoctone),palazzo tronconi (uve bianche autoctone),0,0,[],5,1,2024-08-02 16:26:54,2024-10-15 17:36:48
58,21,kikè,kikè,28.0,,0,0,,cantine fina (traminer e sauvignon blanc),cantine fina (traminer e sauvignon blanc),0,0,[],5,1,2024-08-02 16:29:32,2024-10-15 17:36:48
59,0,MARINARA,MARINARA,6.0,5.5,1,0,,"pomodoro, aglio, origano","tomato sauce, garlic and origan",0,0,"[""4""]",10,1,2024-08-02 16:33:57,2024-10-18 18:44:01
60,4,MARGHERITA,MARGHERITA ,7.0,6.0,1,0,,"pomodoro, mozzarella ",tomato sauce and mozzarella cheese,0,0,"[""4"", ""5""]",10,1,2024-08-02 16:35:01,2024-10-18 18:44:17
61,1,FUNGHI ,FUNGHI ,7.5,6.5,1,0,,"pomodoro, mozzarella, funghi champignon ","tomato sauce, mozzarella, mushrooms",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:36:27,2024-10-18 18:44:01
62,2,NAPOLI ,NAPOLI ,8.0,7.0,1,0,,"pomodoro, mozzarella e alici","tomato sauce, mozzarella, anchovies",0,0,"[""5"", ""4"", ""8""]",10,1,2024-08-02 16:37:48,2024-10-18 18:44:01
63,3,PUTTANESCA,PUTTANESCA,8.5,7.5,1,0,,"pomodoro, alici, capperi, olive, pachino, peperoncino e basilico","tomato sauce, anchovies, olives, capers, chili, basil",0,0,"[""4"", ""8""]",10,1,2024-08-02 16:40:25,2024-10-18 18:44:01
64,5,DIAVOLA,DIAVOLA,8.5,7.5,1,0,,"pomodoro, mozzarella e ventricina","tomato sauce, mozzarella and pepperoni",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:41:42,2024-10-18 18:44:17
65,6,BOSCAIOLA,BOSCAIOLA,8.5,8.0,1,0,,"pomodoro, mozzarella, salsiccia e funghi champignon","tomato sauce, mozzarella, sausage pork and mushrooms",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:43:05,2024-10-18 18:44:17
66,7,PARMIGIANA ,PARMIGIANA ,8.5,7.5,1,0,,"pomodorp, mozzarella, melanzane al forno, parmigiano e basilico","tomato sauce, mozzarella, eggplants, parmesan, basil ",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:44:18,2024-10-18 18:44:17
67,8,AMATRICIANA,AMATRICIANA,9.0,7.5,1,0,,"pomodoro, guanciale e pecorino","tomato sauce, guanciale and pecorino cheese",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:45:16,2024-10-18 18:44:17
68,9,CAPRICCIOSA,CAPRICCIOSA,9.5,8.0,1,0,,"pomodoro, mozzarella, funghi champignon, olive, uovo sodo, carciofini, prosciutto crudo","tomato sauce, mozzarella, mushrooms, olives, egg, artichokes, ham",0,0,"[""4"", ""5"", ""14""]",10,1,2024-08-02 16:47:13,2024-10-18 18:44:17
69,10,MARGHERITA CON BUFALA,MARGHERITA CON BUFALA,10.0,8.0,1,0,,"pomodoro, mozzarella di bufala, basilico","tomato sauce, mozzarella di bufala, basil",0,0,"[""4"", ""5""]",10,1,2024-08-02 16:48:49,2024-10-18 18:44:17
70,11,CASARECCIA,CASARECCIA,10.0,9.0,1,0,,"pomodoro, nduja, stracciatella di bufala e prezzemolo","tomato sauce, spicy meat, stracciatella cheese, parsley",0,0,"[""5"", ""4""]",10,1,2024-08-02 16:51:48,2024-10-18 18:44:17
71,0,FUNGHI,FUNGHI,7.5,6.5,1,0,,"mozzarella, funghi champignon ","mozzarella, mushrooms",0,0,"[""4"", ""5""]",9,1,2024-08-02 16:52:56,2024-10-18 18:42:30
72,1,CROSTINO,CROSTINO,7.5,6.5,1,0,,"mozzarella, prosciutto cotto","mozzarella, ham ",0,0,"[""5"", ""4""]",9,1,2024-08-02 16:53:47,2024-10-18 18:42:30
73,2,BOSCAIOLA ,BOSCAIOLA ,8.5,8.0,1,0,,"mozzarella, funghi champignon, salsiccia","mozzarella, mushrooms, pork sausage",0,0,"[""5"", ""4""]",9,1,2024-08-02 16:55:01,2024-10-18 18:42:30
74,3,ORTOLANA,ORTOLANA,8.5,7.5,1,0,,"mozzarella, cicoria, patate, melanzane, zucchine, rucola, pachino, olive","mozzarella, vegetables mix",0,0,"[""4"", ""5""]",9,1,2024-08-02 16:56:59,2024-10-18 18:42:30
75,4,CICORIA E NDUJA,CICORIA E NDUJA,8.5,8.0,1,0,,"mozzarella, cicoria, nduja","mozzarella, chicory, spicy meat",0,0,"[""4"", ""5""]",9,1,2024-08-02 16:57:49,2024-10-18 18:42:37
76,5,CACIO E PEPE,CACIO E PEPE,9.0,8.0,1,0,,"mozzarella, pecorino, parmigiano, pepe","mozzarella, pecorino and paernesan cheese, black pepper",0,0,"[""5"", ""4""]",9,1,2024-08-02 16:58:56,2024-10-18 18:42:37
77,6,GRICIA,GRICIA,9.0,8.0,1,0,,"mozzarella, guanciale, pecorino, parmigiano, pepe","mozzarella, guanciale, pecorino and parmesan cheese, black pepper",0,0,"[""4"", ""5""]",9,1,2024-08-02 16:59:55,2024-10-18 18:42:37
78,7,PROVOLA E MORTADELLA,PROVOLA E MORTADELLA,9.0,8.0,1,0,,"mozzarella, provola, mortadella","mozzarella, provola cheese, mortadella",0,0,"[""4"", ""5""]",9,1,2024-08-02 17:00:40,2024-10-18 18:42:45
79,8,4 FORMAGGI,4 FORMAGGI,9.5,8.0,1,0,,"mozzarella, pecorino, parmigiano, gorgonzola, provola",mozzarella and mix of cheese,0,0,"[""5"", ""4""]",9,1,2024-08-02 17:01:36,2024-10-18 18:42:45
80,9,FIORI DI ZUCCA E ALICI,FIORI DI ZUCCA E ALICI,9.0,8.0,1,0,,"mozzarella, fiori di zucca, alici, olive, pachino","mozzarella, zucchini flowers, anchovies, olives, tomato",0,0,"[""5"", ""4"", ""8""]",9,1,2024-08-02 17:02:46,2024-10-18 18:42:45
81,10,"FUNGHI, SPECK, TARTUFO ","FUNGHI, SPECK, TARTUFO ",10.0,9.0,1,0,,"mozzarella, funghi champignon, speck e olio al tartufo","mozzarella, mushrooms, smoked ham and truffle oil",0,0,"[""4"", ""5""]",9,1,2024-08-02 17:04:26,2024-10-18 18:42:52
82,11,"PATATE, NDUJA, STRACCIATELLA","PATATE, NDUJA, STRACCIATELLA",11.0,,1,0,,"mozzarella, patate, nduja, stracciatella di bufala","mozzarella, potatoes, spicy meat and stracciatella cheese",0,0,"[""5"", ""4""]",9,1,2024-08-02 17:05:35,2024-10-18 18:42:52
83,39,FOCACCIA BRESAOLA,FOCACCIA BRESAOLA,9.5,8.5,1,0,,"bresaola, rucola, grana","bresaola, rocket, parmesan cheese",0,0,"[""4"", ""5""]",12,1,2024-08-02 17:37:22,2024-09-27 15:22:51
84,40,FOCACCIA MORTADELLA,FOCACCIA MORTADELLA,11.0,8.5,1,0,,"mortadella, stracciatella e granella di pistacchio","mortadella, pistacchio, stracciatella cheese",0,0,"[""5"", ""4"", ""3""]",12,1,2024-08-02 17:39:10,2024-09-27 15:22:51
85,41,FOCACCIA BUFALA,FOCACCIA BUFALA,11.0,8.5,1,0,,"mozzarella di bufala, rucola, pachino, olive, grana","mozzarella di bufala, rocket, tomatoes, olives, parmesan",0,0,"[""5"", ""4""]",12,1,2024-08-02 17:40:54,2024-09-27 15:22:51
86,84,Joy rosè,Joy,20.0,,0,0,,Prosecco rosè brut,Prosecco rosè brut ,0,0,[],6,1,2024-08-03 16:44:28,2024-10-06 11:01:54
87,85,Kius,Kius,32.0,,0,0,,Marco Carpineti (bellone metodo classico),Marco carpineti (bellone metodo classico ),0,0,[],6,1,2024-08-03 16:46:05,2024-10-06 11:01:54
88,9,"CRUDO, PESTO DI BASILICO, POMODORINI CONFIT","Crudo, pesto di basilico, pomodorini confit",4.5,,0,0,,,,0,0,"[""4""]",8,0,2024-08-25 17:40:37,2024-09-27 15:22:51
89,11,IL BRUCIATO,IL BRUCIATO,42.0,,0,0,,"ANTINORI BOLGHERI DOC (Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot, Syrah)",,0,0,[],4,1,2024-09-27 15:28:27,2024-10-17 18:05:55
90,12,BUFERA,BUFERA ,25.0,,0,0,,Terre d’arengo (Montepulciano 85% Sangiovese 15%),,0,0,[],4,1,2024-09-27 15:34:44,2024-10-17 18:05:55
91,43,Ribolla gialla ,Ribolla gialla,5.0,,0,0,,Sasster,,0,0,[],3,1,2024-09-27 17:25:59,2024-10-06 11:01:53
92,42,Trebbiano d'Abruzzo,Trebbiano d'Abruzzo,5.0,,0,0,,Talamo ti ,,0,0,[],3,1,2024-09-27 17:41:00,2024-10-06 11:01:53
93,13,BAROLO ,BAROLO,60.0,,0,0,,Ettore Germano (100% Nebbiolo),,0,0,[],4,1,2024-10-16 16:55:00,2024-10-17 18:05:55
94,14,Nebbiolo ,NEBBIOLO ,25.0,,0,0,,Ettore Germano (100% Nebbiolo),,0,0,[],4,0,2024-10-16 16:58:31,2024-10-17 18:05:55
95,15,Barbera d'Alba ,barbera d'Alba,25.0,,0,0,,Ettore Germano (100% Barbera),,0,0,[],4,1,2024-10-16 17:00:39,2024-10-17 18:05:55
96,16,CONCADORO CHIANTI CLASSICO ,CONCADORO CHIANTI CLASSICO ,23.0,,0,0,,"Cerasi  (90% Sangiovese, 10% Canaiolo)",,0,0,[],4,1,2024-10-16 17:26:54,2024-10-17 18:05:55
97,17,MASSITIUM ,MASSITIUM ,25.0,,0,0,,PILEUM (100% Cesanese),,0,0,[],4,1,2024-10-17 17:48:45,2024-10-17 18:06:05
98,12,Mozzarella senza lattosio,Mozzarella no lattosio,1.0,,0,0,,,,0,0,[],9,1,2024-10-18 18:41:24,2024-10-18 18:42:52
99,12,Mozzarella senza lattosio,Mozzarella no lattosio,1.0,,0,0,,,,0,0,[],10,1,2024-10-18 18:43:45,2024-10-18 18:44:17
